Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
186,Jrue Holiday,"PG,SG",35.2,POR,62,,,0.444,0.911,1.7,,11.1,4.3,3.9,1.1,0.4,1.2,0
187,Kyle Kuzma,"SF,PF",30.1,MIL,65,,,0.436,0.633,1.5,,14.8,5.7,2.3,0.6,0.3,2.2,0
188,Gary Trent Jr.,"PG,SG,SF",26.6,MIL,74,,,0.43,0.847,2.4,,11.1,2.3,1.2,1,0.1,0.6,0
189,Vince Williams Jr.,"PG,SG,SF",25,MEM,27,,,0.401,0.787,1,,6.6,3.6,2,0.4,0.3,1.2,0
190,Luguentz Dort,"SG,SF",26.3,OKC,71,,,0.435,0.708,2.4,,10.1,4.1,1.6,1.1,0.5,0.7,0
191,Devin Carter,PG,23.4,SAC,36,,,0.374,0.59,0.5,,3.8,2.1,1.1,0.6,0.1,0.5,0
192,Jose Alvarado,PG,27.3,NO,56,,,0.391,0.811,2,,10.3,2.4,4.6,1.3,0.3,1.5,0
193,Cole Anthony,PG,25.3,MIL,67,,,0.423,0.822,1.2,,9.4,3,2.9,0.7,0.5,1.5,0
194,Khris Middleton,SF,34,WAS,37,,,0.474,0.859,1.3,,11.9,3.7,4.1,0.9,0.2,1.5,0
69,VJ Edgecombe,ALL,20,PHI,,,,,,,,,,,,,,1
196,Wendell Carter Jr.,"PF,C",26.3,ORL,68,,,0.46,0.739,0.5,,9.1,7.2,2,0.8,0.6,1.1,0
77,Kon Knueppel,ALL,20,CHA,,,,,,,,,,,,,,1
198,Scotty Pippen Jr.,"PG,SG",24.8,MEM,79,,,0.479,0.713,1.1,,9.9,3.3,4.4,1.3,0.4,1.7,0
199,Alex Caruso,"SG,SF",31.5,OKC,54,,,0.446,0.83,1.1,,7.1,2.9,2.5,1.6,0.5,0.7,0
200,Jaime Jaquez Jr.,"SG,SF",24.5,MIA,66,,,0.461,0.753,0.6,,8.6,4.4,2.5,0.9,0.2,1.5,0
201,Moussa Diabaté,C,23.6,CHA,71,,,0.596,0.595,0,,5.7,6.2,0.8,0.6,0.6,0.9,0
202,Noah Clowney,"SF,PF,C",21.1,BKN,46,,,0.357,0.839,1.9,,9.1,3.9,0.9,0.5,0.5,1,0
203,Goga Bitadze,C,26.1,ORL,70,,,0.612,0.637,0,,7.2,6.6,2,0.7,1.4,1,0
204,Isaiah Stewart,"PF,C",24.2,DET,72,,,0.557,0.76,0.2,,6,5.5,1.7,0.4,1.4,0.9,0
205,Dennis Schröder,"PG,SG",31.9,SAC,75,,,0.406,0.837,1.7,,13.1,2.6,5.4,0.9,0.2,1.9,0
206,Jerami Grant,"SF,PF",31.4,POR,47,,,0.373,0.85,2.3,,14.4,3.5,2.1,0.9,1,1.4,0
207,Nick Richards,C,27.7,PHO,57,,,0.591,0.744,0,,9.3,8.2,0.9,0.2,1,1.4,0
208,Karlo Matkovic,"PF,C",24.4,NO,42,,,0.573,0.771,0.5,,7.7,5,1.1,0.5,1,1,0
209,Julian Strawther,SG,23.3,DEN,65,,,0.432,0.826,1.5,,9,2.2,1.3,0.6,0.2,0.9,0
210,Jonathan Isaac,"SF,PF",27.9,ORL,71,,,0.414,0.682,0.6,,5.4,4.4,0.6,0.9,1.1,0.5,0
211,Lonzo Ball,"PG,SG",27.8,CLE,35,,,0.366,0.818,1.9,,7.6,3.4,3.3,1.3,0.5,1.2,0
212,Jaxson Hayes,"PF,C",25.2,LAL,56,,,0.724,0.623,0,,6.8,4.8,1,0.6,0.9,0.8,0
213,Kevin Porter Jr.,PG,25.3,MIL,75,,,0.45,0.769,0.7,,10.3,3.7,3.4,1.1,0.2,1.8,0
214,Adem Bona,C,22.4,PHI,58,,,0.704,0.674,0,,5.8,4.2,0.5,0.4,1.2,1.1,0
215,Jay Huff,C,28,IND,64,,,0.514,0.784,1.3,,6.9,2,0.6,0.3,0.9,0.5,0
216,Day'Ron Sharpe,C,23.8,BKN,50,,,0.521,0.757,0.2,,7.9,6.6,1.8,0.8,0.8,1.3,0
217,Ty Jerome,"PG,SG",28.1,MEM,70,,,0.516,0.872,1.6,,12.5,2.5,3.4,1.1,0,1.3,0
166,Nikola Topic,PG,20,OKC,,,,,,,,,,,,,,1
149,Hansen Yang,ALL,20.1,POR,,,,,,,,,,,,,,1
129,Collin Murray-Boyles,ALL,20.2,TOR,,,,,,,,,,,,,,1
221,Neemias Queta,C,26.1,BOS,62,,,0.651,0.755,0,,5,3.8,0.7,0.3,0.7,0.6,0
222,Clint Capela,C,31.2,HOU,55,,,0.559,0.54,0,,8.9,8.5,1.1,0.6,0.9,0.9,0
223,Kris Dunn,"PG,SG",31.4,LAC,74,,,0.438,0.667,1,,6.4,3.4,2.8,1.7,0.4,1,0
224,Tre Jones,PG,25.6,CHI,46,,,0.538,0.822,0.4,,7.2,2.5,4.2,0.8,0.2,0.8,0
225,Guerschon Yabusele,"PF,C",29.7,NY,70,,,0.501,0.726,1.5,,11,5.6,2.1,0.8,0.3,1.2,0
226,Nickeil Alexander-Walker,"SG,SF",27,ATL,82,,,0.438,0.778,1.7,,9.4,3.2,2.7,0.6,0.4,1.2,0
227,Brice Sensabaugh,"SF,PF",21.8,UTA,71,,,0.459,0.893,2.2,,10.9,3,1.5,0.6,0.1,1.5,0
228,Patrick Williams,PF,24,CHI,63,,,0.397,0.72,1.5,,9,3.8,2,0.8,0.5,1.4,0
229,Moses Moody,"SG,SF",23.2,GS,74,,,0.432,0.794,1.7,,9.8,2.6,1.3,0.8,0.4,0.7,0
230,Tyus Jones,PG,29.3,ORL,81,,,0.448,0.9,2.1,,10.2,2.4,5.3,0.9,0.1,1.1,0
231,T.J. McConnell,PG,33.4,IND,79,,,0.519,0.742,0.2,,9.1,2.4,4.4,1.1,0.3,1.4,0
128,Derik Queen,ALL,20.6,NO,,,,,,,,,,,,,,1
233,Jalen Smith,"PF,C",25.4,CHI,64,,,0.466,0.813,1.1,,8.2,5.6,1,0.3,0.7,0.6,0
234,Kelly Oubre Jr.,"SG,SF",29.7,PHI,60,,,0.47,0.753,1.2,,15.1,6.1,1.8,1.5,0.5,1.3,0
278,Noah Penda,ALL,20.6,ORL,,,,,,,,,,,,,,1
236,Buddy Hield,"SG,SF",32.7,GS,82,,,0.417,0.833,2.5,,11.1,3.2,1.6,0.8,0.3,1.1,0
237,Dalton Knecht,"SG,SF",24.3,LAL,78,,,0.461,0.759,1.6,,9.1,2.8,0.8,0.3,0.1,0.5,0
238,Tre Mann,"PG,SG",24.5,CHA,13,,,0.435,0.901,1.9,,14.1,2.9,3,0.5,0.3,1.9,0
